/Users/invis/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
INFO:__main__:🍽️ 食べログからデータ取得開始（改良版V2）
INFO:tabelog_scraper_async_v2:前回の進捗を読み込みました: 760件処理済み
INFO:tabelog_scraper_async_v2:前回の結果を読み込みました: 760件
INFO:tabelog_scraper_async_v2:🍽️ 東京都のデータ取得開始
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/118/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/120/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/119/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/126/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/122/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/121/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/125/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/129/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/123/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/124/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/128/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/127/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/131/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/132/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/130/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/133/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/134/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/138/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/135/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/136/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/139/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/137/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/140/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/141/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/142/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/143/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/144/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/145/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/147/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/146/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/148/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/153/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/150/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/149/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/151/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/155/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/156/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/152/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/157/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/154/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/160/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/158/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/162/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/159/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/164/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/161/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/166/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/165/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/163/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/167/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/168/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/170/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/171/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/169/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/173/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/172/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/174/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/176/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/177/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/175/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/178/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/180/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/179/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/181/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/182/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/183/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/187/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/184/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/188/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/186/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/185/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/190/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/193/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/189/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/192/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/191/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/194/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/197/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/196/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/195/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/200/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/201/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/202/
WARNING:tabelog_scraper_async_v2:HTTPエラー 400: https://tabelog.com/tokyo/rstLst/198/
